# Pure Hydrogen Grid from http://www.astro.umontreal.ca/~bergeron/CoolingModels/
# Teff,log g,Mass,Abs V,BCv,Abs Bol,Abs G
2500,7,0.152,16.736,0.101,16.837,16.393
2750,7,0.152,16.509,-0.089,16.42,16.044
3000,7,0.152,16.286,-0.246,16.039,15.743
3250,7,0.153,16.061,-0.372,15.689,15.489
3500,7,0.153,15.827,-0.464,15.362,15.266
3750,7,0.154,15.582,-0.524,15.058,15.055
4000,7,0.155,15.31,-0.539,14.771,14.829
4250,7,0.157,14.992,-0.495,14.497,14.564
4500,7,0.159,14.657,-0.422,14.235,14.282
4750,7,0.162,14.319,-0.344,13.975,13.991
5000,7,0.168,13.988,-0.27,13.717,13.7
5250,7,0.174,13.681,-0.214,13.467,13.427
5500,7,0.179,13.407,-0.178,13.23,13.18
6000,7,0.188,12.946,-0.144,12.802,12.763
6500,7,0.192,12.569,-0.141,12.428,12.419
7000,7,0.197,12.237,-0.155,12.083,12.112
7500,7,0.201,11.937,-0.176,11.761,11.834
8000,7,0.205,11.659,-0.2,11.459,11.577
8500,7,0.209,11.397,-0.222,11.174,11.336
9000,7,0.213,11.15,-0.244,10.906,11.11
9500,7,0.217,10.921,-0.269,10.652,10.9
10000,7,0.22,10.719,-0.308,10.411,10.716
10500,7,0.223,10.557,-0.373,10.185,10.567
11000,7,0.226,10.436,-0.467,9.969,10.454
11500,7,0.229,10.344,-0.581,9.763,10.366
12000,7,0.231,10.252,-0.687,9.566,10.276
12500,7,0.234,10.163,-0.787,9.376,10.186
13000,7,0.237,10.079,-0.885,9.194,10.1
13500,7,0.239,10,-0.982,9.018,10.018
14000,7,0.242,9.925,-1.077,8.848,9.94
14500,7,0.244,9.853,-1.169,8.684,9.866
15000,7,0.247,9.784,-1.259,8.525,9.794
15500,7,0.25,9.717,-1.346,8.372,9.724
16000,7,0.252,9.653,-1.43,8.223,9.658
16500,7,0.254,9.59,-1.511,8.079,9.593
17000,7,0.257,9.53,-1.591,7.939,9.531
20000,7,0.27,9.201,-2.021,7.18,9.192
25000,7,0.288,8.74,-2.599,6.141,8.717
30000,7,0.304,8.309,-3.018,5.291,8.273
35000,7,0.32,7.947,-3.381,4.566,7.899
40000,7,0.338,7.693,-3.768,3.925,7.639
45000,7,0.353,7.508,-4.14,3.368,7.45
50000,7,0.366,7.356,-4.487,2.869,7.294
55000,7,0.379,7.223,-4.806,2.417,7.16
60000,7,0.394,7.099,-5.1,1.999,7.034
65000,7,0.411,6.977,-5.372,1.605,6.91
70000,7,0.43,6.858,-5.624,1.233,6.79
75000,7,0.452,6.738,-5.859,0.879,6.669
80000,7,0.472,6.631,-6.079,0.552,6.561
85000,7,0.489,6.536,-6.285,0.251,6.465
90000,7,0.506,6.444,-6.479,-0.034,6.373
2500,7.5,0.317,17.082,0.204,17.285,16.812
2750,7.5,0.317,16.857,0.013,16.871,16.457
3000,7.5,0.317,16.645,-0.152,16.492,16.152
3250,7.5,0.318,16.428,-0.284,16.144,15.892
3500,7.5,0.318,16.2,-0.379,15.821,15.663
3750,7.5,0.319,15.96,-0.44,15.519,15.45
4000,7.5,0.319,15.706,-0.469,15.237,15.237
4250,7.5,0.32,15.426,-0.455,14.972,15.005
4500,7.5,0.321,15.12,-0.4,14.72,14.748
4750,7.5,0.323,14.809,-0.33,14.479,14.483
5000,7.5,0.326,14.507,-0.26,14.247,14.22
5250,7.5,0.329,14.224,-0.203,14.022,13.972
5500,7.5,0.333,13.972,-0.163,13.809,13.747
6000,7.5,0.338,13.544,-0.129,13.415,13.362
6500,7.5,0.341,13.188,-0.13,13.058,13.038
7000,7.5,0.343,12.877,-0.148,12.729,12.752
7500,7.5,0.345,12.598,-0.175,12.422,12.494
8000,7.5,0.347,12.34,-0.205,12.135,12.256
8500,7.5,0.349,12.1,-0.235,11.865,12.035
9000,7.5,0.352,11.873,-0.263,11.61,11.827
9500,7.5,0.354,11.66,-0.292,11.368,11.634
10000,7.5,0.356,11.466,-0.328,11.138,11.458
10500,7.5,0.359,11.3,-0.38,10.92,11.306
11000,7.5,0.361,11.165,-0.454,10.711,11.182
11500,7.5,0.363,11.06,-0.548,10.513,11.085
12000,7.5,0.364,10.984,-0.662,10.322,11.013
12500,7.5,0.366,10.91,-0.771,10.139,10.942
13000,7.5,0.368,10.834,-0.87,9.964,10.866
13500,7.5,0.37,10.761,-0.966,9.795,10.791
14000,7.5,0.372,10.692,-1.061,9.631,10.72
14500,7.5,0.373,10.627,-1.153,9.474,10.651
15000,7.5,0.375,10.564,-1.243,9.321,10.586
15500,7.5,0.377,10.503,-1.33,9.174,10.522
16000,7.5,0.379,10.445,-1.414,9.03,10.461
16500,7.5,0.381,10.388,-1.496,8.891,10.402
17000,7.5,0.383,10.332,-1.576,8.756,10.344
20000,7.5,0.394,10.027,-2.008,8.019,10.027
25000,7.5,0.411,9.59,-2.586,7.003,9.574
30000,7.5,0.428,9.176,-3.007,6.169,9.145
35000,7.5,0.45,8.821,-3.376,5.445,8.777
40000,7.5,0.464,8.598,-3.767,4.83,8.546
45000,7.5,0.48,8.426,-4.143,4.283,8.371
50000,7.5,0.496,8.282,-4.493,3.79,8.223
55000,7.5,0.512,8.156,-4.815,3.341,8.095
60000,7.5,0.527,8.043,-5.112,2.932,7.98
65000,7.5,0.541,7.941,-5.386,2.555,7.876
70000,7.5,0.555,7.847,-5.641,2.206,7.78
75000,7.5,0.569,7.759,-5.878,1.88,7.691
80000,7.5,0.583,7.672,-6.1,1.572,7.603
85000,7.5,0.599,7.589,-6.309,1.281,7.52
90000,7.5,0.613,7.511,-6.505,1.006,7.44
2500,8,0.575,17.592,0.297,17.889,17.393
2750,8,0.575,17.37,0.105,17.475,17.033
3000,8,0.575,17.159,-0.062,17.097,16.719
3250,8,0.576,16.946,-0.198,16.749,16.448
3500,8,0.576,16.726,-0.299,16.427,16.214
3750,8,0.576,16.492,-0.365,16.126,15.999
4000,8,0.576,16.246,-0.4,15.845,15.789
4250,8,0.577,15.984,-0.403,15.581,15.57
4500,8,0.578,15.701,-0.369,15.332,15.333
4750,8,0.578,15.408,-0.313,15.095,15.084
5000,8,0.58,15.119,-0.249,14.87,14.834
5250,8,0.582,14.847,-0.193,14.654,14.596
5500,8,0.584,14.597,-0.15,14.447,14.374
6000,8,0.588,14.175,-0.111,14.063,13.994
6500,8,0.59,13.826,-0.115,13.712,13.677
7000,8,0.592,13.525,-0.138,13.387,13.401
7500,8,0.593,13.255,-0.171,13.084,13.151
8000,8,0.595,13.008,-0.207,12.801,12.922
8500,8,0.596,12.778,-0.243,12.535,12.71
9000,8,0.598,12.562,-0.277,12.285,12.512
9500,8,0.599,12.359,-0.312,12.047,12.327
10000,8,0.6,12.17,-0.349,11.822,12.156
10500,8,0.602,12.002,-0.394,11.607,12.003
11000,8,0.603,11.86,-0.457,11.403,11.874
11500,8,0.604,11.744,-0.536,11.208,11.766
12000,8,0.606,11.648,-0.627,11.021,11.678
12500,8,0.607,11.578,-0.737,10.841,11.612
13000,8,0.608,11.517,-0.848,10.669,11.554
13500,8,0.609,11.452,-0.95,10.503,11.491
14000,8,0.61,11.387,-1.044,10.343,11.426
14500,8,0.611,11.324,-1.136,10.188,11.361
15000,8,0.613,11.265,-1.226,10.039,11.299
15500,8,0.614,11.208,-1.313,9.895,11.239
16000,8,0.615,11.153,-1.398,9.755,11.181
16500,8,0.616,11.099,-1.48,9.619,11.125
17000,8,0.617,11.048,-1.56,9.488,11.071
20000,8,0.624,10.764,-1.994,8.77,10.773
25000,8,0.635,10.354,-2.572,7.782,10.346
30000,8,0.646,9.966,-2.995,6.972,9.941
35000,8,0.661,9.648,-3.371,6.277,9.607
40000,8,0.672,9.446,-3.766,5.679,9.398
45000,8,0.682,9.296,-4.145,5.151,9.243
50000,8,0.694,9.172,-4.497,4.676,9.116
55000,8,0.703,9.068,-4.821,4.247,9.009
60000,8,0.713,8.974,-5.12,3.854,8.913
65000,8,0.722,8.889,-5.397,3.492,8.825
70000,8,0.732,8.81,-5.654,3.156,8.745
75000,8,0.741,8.737,-5.893,2.843,8.67
80000,8,0.75,8.667,-6.117,2.55,8.6
85000,8,0.759,8.601,-6.328,2.274,8.533
90000,8,0.768,8.538,-6.526,2.013,8.469
2500,8.5,0.908,18.264,0.379,18.643,18.13
2750,8.5,0.908,18.044,0.185,18.229,17.767
3000,8.5,0.908,17.829,0.023,17.851,17.443
3250,8.5,0.908,17.619,-0.116,17.503,17.162
3500,8.5,0.908,17.404,-0.222,17.182,16.92
3750,8.5,0.908,17.178,-0.296,16.882,16.702
4000,8.5,0.909,16.937,-0.336,16.601,16.491
